"CU_ID","Year","Value"
"CK-13",2018,68636.2351005209
"CK-13",2019,69013.1001586787
"CK-13",2020,91770.7389851367
"CK-13",2021,109877.859159099
"CK-13",2022,141524.330777173
"CK-13",2023,200125.388228533
"CK-14",1995,NA
"CK-14",1996,NA
"CK-14",1997,NA
"CK-14",1998,NA
"CK-14",1999,NA
"CK-14",2000,NA
"CK-14",2001,NA
"CK-14",2002,NA
"CK-14",2003,1495.3962914594
"CK-14",2004,1319.83729321539
"CK-14",2005,1100.89245527234
"CK-14",2006,917.716269662207
"CK-14",2007,701.882094301897
"CK-14",2008,586.652508163687
"CK-14",2009,537.19579420495
"CK-14",2010,696.175930047816
"CK-14",2011,661.518541258612
"CK-14",2012,675.06854061191
"CK-14",2013,716.937051677658
"CK-14",2014,771.954089615554
"CK-14",2015,675.635078733926
"CK-14",2016,613.421333156965
"CK-14",2017,712.263111280605
"CK-14",2018,684.342655033321
"CK-14",2019,677.114954110878
"CK-14",2020,646.953244284511
"CK-14",2021,1017.76299445784
"CK-14",2022,964.59619000792
"CK-14",2023,1011.29535057536
"CK-15",1995,20167.7884749811
"CK-15",1996,22551.1672708984
"CK-15",1997,23547.535016237
"CK-15",1998,23210.4201731179
"CK-15",1999,30177.9878184727
"CK-15",2000,28150.0595137607
"CK-15",2001,31663.3116886825
"CK-15",2002,34914.5753946263
"CK-15",2003,32948.5988026451
"CK-15",2004,29319.0287396404
"CK-15",2005,25450.8498495731
"CK-15",2006,26477.1978792559
"CK-15",2007,22050.7068167916
"CK-15",2008,21438.8256525484
"CK-15",2009,23175.9529868247
"CK-15",2010,24420.9182704658
"CK-15",2011,25100.1345011719
"CK-15",2012,17475.1629746316
"CK-15",2013,17374.1953506346
"CK-15",2014,15227.0496960791
"CK-15",2015,18480.0275902548
"CK-15",2016,21562.2767394068
"CK-15",2017,18477.305838672
"CK-15",2018,14429.5221770447
"CK-15",2019,13087.5280665901
"CK-15",2020,18072.2697201844
"CK-15",2021,22313.0942434021
"CK-15",2022,26703.9804021744
"CK-15",2023,34878.8050252929
"CK-16",1995,NA
"CK-16",1996,NA
"CK-16",1997,NA
"CK-16",1998,114.637458879895
"CK-16",1999,138.559576944913
"CK-16",2000,113.904256420481
"CK-16",2001,144.99812755942
"CK-16",2002,233.518962603749
"CK-16",2003,215.877010532923
"CK-16",2004,251.007921086074
"CK-16",2005,198.633448117269
"CK-16",2006,199.772347513258
"CK-16",2007,16.6549290389025
"CK-16",2008,13.7380182320013
"CK-16",2009,8.62770863051873
"CK-16",2010,8.12362806857866
"CK-16",2011,43.203857825429
"CK-16",2012,28.2118688249982
"CK-16",2013,45.8301206840219
"CK-16",2014,38.0523047972635
"CK-16",2015,78.3788871713425
"CK-16",2016,64.5376813403213
"CK-16",2017,35.0684794772696
"CK-16",2018,16.0403191689608
"CK-16",2019,1.46427410640372
"CK-16",2020,1.01430349156035
"CK-16",2021,0.157963115283319
"CK-16",2022,0.246704354016916
"CK-16",2023,1.25929266219368
"CK-17",1995,11599.7050215088
"CK-17",1996,15009.6557687234
"CK-17",1997,17652.9167792651
"CK-17",1998,11992.2158980331
"CK-17",1999,10682.0913791623
