"","CU_ID","Species","Stock","Label","Year","Metric","Compare","LBM","UBM","Status","DataType","Value"
"57","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2022,"AbsLBM",36.193067934062,1000,10000,"Red","Abs_Abd",0.036193067934062
"58","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2023,"AbsLBM",34.8248055843251,1000,10000,"Red","Abs_Abd",0.0348248055843251
"59","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1995,"RelLBM",38.7826217850268,NA,NA,NA,"Abs_Abd",NA
"60","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1996,"RelLBM",61.8621546801949,NA,NA,NA,"Abs_Abd",NA
"61","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1997,"RelLBM",95.7335064375009,NA,NA,NA,"Abs_Abd",NA
"62","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1998,"RelLBM",143.78241129855,NA,NA,NA,"Abs_Abd",NA
"63","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1999,"RelLBM",131.925020857852,NA,NA,NA,"Abs_Abd",NA
"64","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2000,"RelLBM",146.294880899635,NA,NA,NA,"Abs_Abd",NA
"65","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2001,"RelLBM",137.007168717452,NA,NA,NA,"Abs_Abd",NA
"66","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2002,"RelLBM",111.54116184569,NA,NA,NA,"Abs_Abd",NA
"67","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2003,"RelLBM",124.962270921637,NA,NA,NA,"Abs_Abd",NA
"68","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2004,"RelLBM",94.1756194535331,NA,NA,NA,"Abs_Abd",NA
"69","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2005,"RelLBM",69.697756559969,NA,NA,NA,"Abs_Abd",NA
"70","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2006,"RelLBM",61.4758948433095,NA,NA,NA,"Abs_Abd",NA
"71","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2007,"RelLBM",61.0709821789433,NA,NA,NA,"Abs_Abd",NA
"72","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2008,"RelLBM",51.7770753507366,NA,NA,NA,"Abs_Abd",NA
"73","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2009,"RelLBM",56.7626583174844,NA,NA,NA,"Abs_Abd",NA
"74","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2010,"RelLBM",91.9682841292962,NA,NA,NA,"Abs_Abd",NA
"75","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2011,"RelLBM",114.170522165876,NA,NA,NA,"Abs_Abd",NA
"76","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2012,"RelLBM",188.632516607233,NA,NA,NA,"Abs_Abd",NA
"77","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2013,"RelLBM",250.452898435018,NA,NA,NA,"Abs_Abd",NA
"78","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2014,"RelLBM",190.452953860427,NA,NA,NA,"Abs_Abd",NA
"79","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2015,"RelLBM",153.757714369186,NA,NA,NA,"Abs_Abd",NA
"80","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2016,"RelLBM",139.607526536593,NA,NA,NA,"Abs_Abd",NA
"81","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2017,"RelLBM",117.395468607058,NA,NA,NA,"Abs_Abd",NA
"82","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2018,"RelLBM",108.025992590011,NA,NA,NA,"Abs_Abd",NA
"83","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2019,"RelLBM",149.364079768223,NA,NA,NA,"Abs_Abd",NA
"84","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2020,"RelLBM",192.372146604381,NA,NA,NA,"Abs_Abd",NA
"85","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2021,"RelLBM",253.384616004996,NA,NA,NA,"Abs_Abd",NA
"86","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2022,"RelLBM",395.476772302985,NA,NA,NA,"Abs_Abd",NA
"87","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2023,"RelLBM",433.456014047749,NA,NA,NA,"Abs_Abd",NA
"88","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1995,"AbsLBM",38.7826217850268,1000,10000,"Red","Abs_Abd",0.0387826217850268
"89","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1996,"AbsLBM",61.8621546801949,1000,10000,"Red","Abs_Abd",0.0618621546801949
"90","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1997,"AbsLBM",95.7335064375009,1000,10000,"Red","Abs_Abd",0.0957335064375009
"91","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1998,"AbsLBM",143.78241129855,1000,10000,"Red","Abs_Abd",0.14378241129855
"92","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",1999,"AbsLBM",131.925020857852,1000,10000,"Red","Abs_Abd",0.131925020857852
"93","CK-02","Chinook","Boundary Bay_FA_0.3","SpnForAbd_Wild",2000,"AbsLBM",146.294880899635,1000,10000,"Red","Abs_Abd",0.146294880899635
